facilityName,2011 (kg),2016 (kg),2021 (kg)
AIR LIQUIDE LARGE INDUSTRY,742161000.0,591151000.0,1028194000.0
ARCELORMITTAL BELGIUM - GENT,3713660600.0,4173847000.0,3651097000.0
ARGEX,1262000.0,1010000.0,1224100.0
BASF ANTWERPEN,2884586000.0,3112421900.0,2962239000.0
BIOWANZE,457246000.0,514221000.0,581226900.0
BURGO ARDENNES,1101921100.0,1091928500.0,1121907600.0
CARRIERES ET FOURS A CHAUX DUMONT WAUTIER,1191410000.0,1040990000.0,396698000.0
CBR sa - Site d'Antoing,729707500.0,753284000.0,882167300.0
CBR sa - Site de Lixhe,1032666000.0,1181428300.0,1211209500.0
CCB - Site de Gaurain-Ramecroix,1413909800.0,1152747800.0,1222809500.0
ELECTRABEL - CENTRALE BAUDOUR/St GHISLAIN,899433000.0,489233000.0,459328000.0
ELECTRABEL - CENTRALE D'AMERCOEUR,653289000.0,945545000.0,800475000.0
ELECTRABEL CENTRALE RODENHUIZE,995204100.0,1910812400.0,2180687800.0
EUROCHEM ANTWERPEN,0.0,1295000.0,1478000.0
EVONIK ANTWERPEN,504567600.0,534725600.0,532083700.0
EXXONMOBIL PETROLEUM & CHEMICAL - ESSO RAFFINADERIJ,1946179000.0,1935667000.0,2202612900.0
Electrabel - Centrale Knippegroen,3960951000.0,4630838000.0,3600732000.0
HOLCIM Belgique - Usine d'OBOURG,1274675700.0,990467500.0,1073538800.0
INDUSTRIE DU BOIS VIELSALM & CIE - IBV,404263000.0,525304000.0,311439000.0
INOVYN Manufacturing Belgium,21100.0,35000.0,478213100.0
LUMINUS,443000000.0,550236000.0,567177000.0
STORA ENSO LANGERBRUGGE,597275000.0,671256000.0,610298000.0
T POWER,390000000.0,920114000.0,558173000.0
TotalEnergies Olefins Antwerp,1151713000.0,702025000.0,777894000.0
TotalEnergies Refinery Antwerp,3280602200.0,3730901000.0,3798133100.0
UMICORE - HOBOKEN,208476000.0,206057000.0,213366000.0
WIENERBERGER,1317000.0,984000.0,1121000.0
ZANDVLIET POWER - TERREIN BASF,943285000.0,798411000.0,618398000.0
