facilityName,city,region,Country,sector_en,activity_en,cost_2021
ARCELORMITTAL BELGIUM - GENT,Gent,Flandre orientale,Belgium,Production and processing of metals,Installations for the production of pig iron or steel (primary or secondary melting) including continuous casting,983884928
TotalEnergies Refinery Antwerp,Antwerpen,Anvers,Belgium,Energy sector,Mineral oil and gas refineries,794067904
AHLSTROM  MUNKSJÖ MALMEDY,Malmedy,Liège,Belgium,Paper and wood production and processing,"Industrial plants for the production of paper and board and other primary wood products (such as chipboard, fibreboard and plywood)",694007232
Electrabel - Centrale Knippegroen,Gent,Flandre orientale,Belgium,Energy sector,Thermal power stations and other combustion installations,429914944
BASF ANTWERPEN,Antwerpen,Anvers,Belgium,Chemical industry,"Chemical installations for the production on an industrial scale of basic organic chemicals: Oxygen-containing hydrocarbons such as alcohols, aldehydes, ketones, carboxylic acids, esters, acetates, ethers, peroxides, epoxy resins",392816128
EXXONMOBIL PETROLEUM & CHEMICAL - ESSO RAFFINADERIJ,Antwerpen,Anvers,Belgium,Energy sector,Mineral oil and gas refineries,315024288
HOLCIM Belgique - Usine d'OBOURG,Obourg,Région wallonne,Belgium,Mineral industry,Installations for the production of cement clinker in rotary kilns,269452000
ELECTRABEL CENTRALE RODENHUIZE,Gent,Flandre orientale,Belgium,Energy sector,Thermal power stations and other combustion installations,255204144
CCB - Site de Gaurain-Ramecroix,Gaurain-Ramecroix,Région wallonne,Belgium,Mineral industry,Installations for the production of cement clinker in rotary kilns,235492576
CBR sa - Site d'Antoing,Antoing,Région wallonne,Belgium,Mineral industry,Installations for the production of cement clinker in rotary kilns,195195872
CBR sa - Site de Lixhe,Lixhe,Région wallonne,Belgium,Mineral industry,Installations for the production of cement clinker in rotary kilns,180051568
BURGO ARDENNES,Virton,Luxembourg,Belgium,Paper and wood production and processing,Industrial plants for the production of pulp from timber or similar fibrous materials,178010832
UMICORE - HOBOKEN,Antwerpen,Anvers,Belgium,Production and processing of metals,"Installation for the production of non-ferrous crude metals from ore, concentrates or secondary raw materials by metallurgical, chemical or electrolytic processes",127319424
TotalEnergies Olefins Antwerp,Antwerpen,Anvers,Belgium,Chemical industry,"Chemical installations for the production on an industrial scale of basic organic chemicals: Simple hydrocarbons (linear or cyclic, saturated or unsaturated, aliphatic or aromatic)",107426384
ELECTRABEL - CENTRALE D'AMERCOEUR,Roux,Région wallonne,Belgium,Energy sector,Thermal power stations and other combustion installations,101475648
AIR LIQUIDE LARGE INDUSTRY,Antwerpen,Anvers,Belgium,Chemical industry,"Chemical installations for the production on an industrial scale of basic inorganic chemicals: Gases, such as ammonia, chlorine or hydrogen chloride, fluorine or hydrogen fluoride, carbon oxides, sulphur compounds, nitrogen oxides, hydrogen, sulphur dioxide, carbonyl chloride",87487248
INDUSTRIE DU BOIS VIELSALM & CIE - IBV,Vielsalm,Luxembourg,Belgium,Energy sector,Thermal power stations and other combustion installations,81751544
ARGEX,Zwijndrecht,Anvers,Belgium,Mineral industry,"Installations for the manufacture of ceramic products by firing, in particular roofing tiles, bricks, refractory bricks, tiles, stoneware or porcelain",80956552
EVONIK ANTWERPEN,Antwerpen,Anvers,Belgium,Chemical industry,"Chemical installations for the production on an industrial scale of basic organic chemicals: Oxygen-containing hydrocarbons such as alcohols, aldehydes, ketones, carboxylic acids, esters, acetates, ethers, peroxides, epoxy resins",80669160
ZANDVLIET POWER - TERREIN BASF,Antwerpen,Anvers,Belgium,Energy sector,Thermal power stations and other combustion installations,79335072
